city,price,year,manufacturer,condition,cylinders,odometer,title_status,transmission,drive,size,type,paint_color
"laredo, TX",17995,2012,audi,excellent,6 cylinders,99488,clean,automatic,4wd,mid-size,sedan,grey
san antonio,16995,2012,audi,excellent,6 cylinders,99488,clean,automatic,4wd,mid-size,sedan,grey
"corpus christi, TX",16995,2012,audi,excellent,6 cylinders,99488,clean,automatic,4wd,mid-size,sedan,grey
"hartford, CT",8900,2013,nissan,excellent,6 cylinders,99484,clean,automatic,fwd,mid-size,sedan,silver
"bakersfield, CA",18950,2013,toyota,excellent,6 cylinders,99473,clean,automatic,4wd,mid-size,SUV,grey
"Norfolk, VA",15000,2010,toyota,excellent,6 cylinders,99461,clean,automatic,fwd,full-size,wagon,grey
"lansing, MI",6700,2015,nissan,excellent,4 cylinders,99459,clean,automatic,fwd,mid-size,sedan,silver
oregon coast,17500,2010,ram,excellent,8 cylinders,99450,clean,automatic,4wd,full-size,truck,blue
"Edinburg, TX",6900,2010,ford,excellent,6 cylinders,99445,rebuilt,automatic,fwd,sub-compact,SUV,white
"atlanta, GA",5950,2012,hyundai,excellent,4 cylinders,99440,clean,automatic,fwd,full-size,sedan,blue
"lakeland, FL",10499,2014,jeep,excellent,4 cylinders,99428,clean,automatic,fwd,compact,SUV,grey
"birmingham, AL",8900,2014,volkswagen,excellent,4 cylinders,99418,clean,automatic,fwd,mid-size,SUV,black
"boise, ID",18998,2014,ram,like new,8 cylinders,99410,clean,automatic,4wd,full-size,pickup,white
